brand,product,hex,H,S,V,L,group
el,dw,dea365,31,0.55,0.87,72,2
el,dw,d8a46d,31,0.5,0.85,71,2
el,dw,f2bb96,24,0.38,0.95,80,2
el,dw,d4a066,32,0.52,0.83,70,2
el,dw,f2bf91,28,0.4,0.95,81,2
el,dw,edbe98,27,0.36,0.93,81,2
el,dw,e7b79c,22,0.32,0.91,78,2
el,dw,ebad81,25,0.45,0.92,76,2
el,dw,ddb491,28,0.34,0.87,76,2
el,dw,e5ad8a,23,0.4,0.9,75,2
el,dw,d59a71,25,0.47,0.84,69,2
el,dw,cf905d,27,0.55,0.81,65,2
el,dw,d69060,24,0.55,0.84,66,2
el,dw,be8058,24,0.54,0.75,59,2
el,dw,d7986d,24,0.49,0.84,68,2
el,dw,ad7247,25,0.59,0.68,54,2
el,dw,c27440,24,0.67,0.76,57,2
el,dw,c0976b,31,0.44,0.75,66,2
el,dw,99562c,23,0.71,0.6,44,2
el,dw,da926b,21,0.51,0.85,67,2
el,dw,a35829,23,0.75,0.64,46,2
el,dw,b56e38,26,0.69,0.71,54,2
el,dw,a85f2a,25,0.75,0.66,48,2
el,dw,8f4d2b,20,0.7,0.56,41,2
el,dw,864f26,26,0.72,0.53,40,2
el,dw,8f5c35,26,0.63,0.56,44,2
el,dw,895c26,33,0.72,0.54,43,2
el,dw,aa6533,25,0.7,0.67,59,2
el,dw,925b2d,27,0.69,0.57,44,2
el,dw,77421e,24,0.75,0.47,34,2
el,dw,724727,26,0.66,0.45,35,2
el,dw,7e512d,27,0.64,0.49,39,2
el,dw,5e3617,26,0.76,0.37,27,2
rv,cs,f9caac,23,0.31,0.98,85,2
rv,cs,f8c7a1,26,0.35,0.97,84,2
rv,cs,f1bc96,25,0.38,0.95,80,2
rv,cs,f1b496,20,0.38,0.95,79,2
rv,cs,e8b29c,17,0.33,0.91,77,2
rv,cs,e2ae8e,23,0.37,0.89,75,2
rv,cs,dfa48c,17,0.37,0.87,73,2
rv,cs,e4a87f,24,0.44,0.89,74,2
rv,cs,e1a681,23,0.43,0.88,73,2
rv,cs,d5a187,20,0.37,0.84,71,2
rv,cs,dba787,23,0.38,0.86,73,2
rv,cs,d79f86,19,0.38,0.84,70,2
rv,cs,d5a187,20,0.37,0.84,71,2
rv,cs,de9a77,20,0.46,0.87,70,2
rv,cs,cb8f6e,21,0.46,0.8,65,2
rv,cs,c98667,19,0.49,0.79,62,2
rv,cs,c68f71,21,0.43,0.78,64,2
rv,cs,ba8568,21,0.44,0.73,60,2
rv,cs,a7745e,18,0.44,0.65,54,2
rv,cs,8e6558,14,0.38,0.56,47,2
rv,cs,eec498,31,0.36,0.93,82,2
rv,cs,eec29e,27,0.34,0.93,82,2
lo,ipm,f3c6a2,27,0.33,0.95,83,2
lo,ipm,e5ad8b,23,0.39,0.9,75,2
lo,ipm,e7ad82,26,0.44,0.91,76,2
lo,ipm,eeb67e,30,0.47,0.93,78,2
lo,ipm,e8b481,30,0.44,0.91,77,2
lo,ipm,daa271,28,0.48,0.85,71,2
lo,ipm,d49e6c,29,0.49,0.83,70,2
lo,ipm,c0844e,28,0.59,0.75,61,2
lo,ipm,c27f48,27,0.63,0.76,60,2
lo,ipm,da9e6b,28,0.51,0.85,70,2
lo,ipm,b87740,28,0.65,0.72,56,2
lo,ipm,925422,27,0.77,0.57,43,2
lo,ipm,fadcc8,24,0.2,0.98,90,2
lo,ipm,fcd6c7,17,0.21,0.99,89,2
lo,ipm,f7cab1,21,0.28,0.97,85,2
lo,ipm,deb09e,17,0.29,0.87,76,2
lo,ipm,d1a396,13,0.28,0.82,71,2
lo,ipm,cf9c7d,23,0.4,0.81,69,2
lo,ipm,d99959,30,0.59,0.85,69,2
lo,ipm,754728,24,0.66,0.46,35,2
lo,ipm,4d2c0a,30,0.87,0.3,22,2
lo,ipm,4d2006,22,0.92,0.3,19,2
oc,sa,e1ad81,,,,75,2
oc,sa,deb192,,,,76,2
oc,sa,e3b490,,,,77,2
oc,sa,e9b898,,,,79,2
oc,sa,e8bb9c,,,,79,2
oc,sa,e1b7a0,,,,78,2
oc,sa,eac4ae,,,,82,2
oc,sa,eac7ab,,,,83,2
oc,sa,eabe9e,,,,80,2
oc,sa,e5b39a,,,,77,2
oc,sa,e7b590,,,,78,2
oc,sa,f7dcca,,,,90,2
fe,pf,fde9de,21,0.12,0.99,94,0
fe,pf,fde7da,22,0.14,0.99,93,0
fe,pf,fde3cc,28,0.19,0.99,92,0
fe,pf,f2d3b1,31,0.27,0.95,87,0
fe,pf,fce1c6,30,0.21,0.99,91,0
fe,pf,efd1b7,28,0.23,0.94,86,0
fe,pf,f4cca8,28,0.31,0.96,85,0
fe,pf,e8bfa3,24,0.3,0.91,80,0
fe,pf,fad5b8,26,0.26,0.98,88,0
fe,pf,e9c39f,29,0.32,0.91,81,0
fe,pf,e8bc99,27,0.34,0.91,80,0
fe,pf,e2ad85,26,0.41,0.89,75,0
fe,pf,eeba93,26,0.38,0.93,80,0
fe,pf,dfad89,25,0.39,0.87,75,0
fe,pf,d9a57d,26,0.42,0.85,72,0
fe,pf,e4ac7c,28,0.46,0.89,75,0
fe,pf,dca77d,27,0.43,0.86,73,0
fe,pf,d59d6d,28,0.49,0.84,69,0
fe,pf,e7ae85,25,0.42,0.91,76,0
fe,pf,dcb17d,33,0.43,0.86,75,0
fe,pf,ca9262,28,0.51,0.79,65,0
fe,pf,d28f58,27,0.58,0.82,65,0
fe,pf,d39063,24,0.53,0.83,66,0
fe,pf,d39156,28,0.59,0.83,66,0
fe,pf,ac7752,25,0.52,0.67,55,0
fe,pf,b67849,26,0.6,0.71,56,0
fe,pf,bd7b45,27,0.63,0.74,58,0
fe,pf,c98256,23,0.57,0.79,61,0
fe,pf,ca875a,24,0.55,0.79,63,0
fe,pf,a86b3f,25,0.63,0.66,51,0
fe,pf,a65e23,27,0.79,0.65,48,0
fe,pf,9d5d2d,26,0.71,0.62,46,0
fe,pf,ab6939,25,0.67,0.67,51,0
fe,pf,894f29,24,0.7,0.54,40,0
fe,pf,9b5b35,22,0.66,0.61,46,0
fe,pf,824f30,23,0.63,0.51,39,0
fe,pf,7d452c,19,0.65,0.49,36,0
fe,pf,6d3b20,21,0.71,0.43,31,0
fe,pf,683a20,22,0.69,0.41,30,0
fe,pf,583218,24,0.73,0.35,25,0
im,sn,e1bea4,26,0.27,0.88,80,3
im,sn,e5ae86,25,0.41,0.9,76,3
im,sn,c38e63,27,0.49,0.76,64,3
im,sn,ac703d,28,0.65,0.67,53,3
im,sn,9e6209,36,0.94,0.62,47,3
im,sn,855723,32,0.74,0.52,41,3
im,sn,793f0d,28,0.89,0.47,34,3
im,sn,64300a,25,0.9,0.39,27,3
bb,cm,532e1e,18,0.64,0.33,24,3
bb,cm,4e2a1a,18,0.67,0.31,22,3
bb,cm,623f2c,21,0.55,0.38,30,3
bb,cm,8e532b,24,0.7,0.56,42,3
bb,cm,985223,24,0.77,0.6,43,3
bb,cm,a86738,25,0.67,0.66,50,3
bb,cm,a16f4c,25,0.53,0.63,52,3
bb,cm,a4683b,26,0.64,0.64,50,3
bb,cm,a4683b,26,0.64,0.64,50,3
bb,cm,ba7246,23,0.62,0.73,55,3
bb,cm,a86d46,24,0.58,0.66,52,3
bb,cm,b47c57,24,0.52,0.71,57,3
bb,cm,cc9561,29,0.52,0.8,66,3
bb,cm,d6a878,31,0.44,0.84,72,3
bb,cm,d0a37f,27,0.39,0.82,71,3
bb,cm,f1c78e,35,0.41,0.95,83,3
bb,cm,f2cea2,33,0.33,0.95,85,3
bb,cm,f5dab6,34,0.26,0.96,89,3
bb,cm,e9c096,30,0.36,0.91,81,3
bb,cm,edcbab,29,0.28,0.93,84,3
bb,cm,f2dac1,31,0.2,0.95,89,3
bb,cm,f2dbbb,35,0.23,0.95,89,3
bb,cm,f3dabc,33,0.23,0.95,89,3
bb,cm,f3dbbc,34,0.23,0.95,89,3
bb,cm,f6e2c7,34,0.19,0.96,91,3
bb,cm,f4dfc9,31,0.18,0.96,90,3
bb,cm,f9ecc5,45,0.21,0.98,94,3
bb,cm,f9ebcd,41,0.18,0.98,94,3
bb,cm,f3e2ce,32,0.15,0.95,91,3
bb,cm,f5e8d7,34,0.12,0.96,93,3
bu,mf,eed1b5,29,0.24,0.93,86,3
bu,mf,daaa80,28,0.41,0.85,73,3
bu,mf,d7a778,30,0.44,0.84,72,3
bu,mf,dfa46f,28,0.5,0.87,72,3
bu,mf,d28f66,23,0.51,0.82,66,3
bu,mf,ad6d41,24,0.62,0.68,52,3
bu,mf,c98c60,25,0.52,0.79,64,3
bu,mf,bf7a43,27,0.65,0.75,58,3
bu,mf,ac734c,24,0.56,0.67,54,3
bu,mf,b97245,23,0.63,0.73,55,3
bu,mf,a0522c,20,0.73,0.63,44,3
bu,mf,9e5a35,21,0.66,0.62,46,3
bu,mf,97472e,14,0.7,0.59,41,3
bu,mf,7e3e2a,14,0.67,0.49,34,3
bu,mf,7b3625,12,0.7,0.48,32,3
bu,mf,653129,8,0.59,0.4,27,3
bu,mf,3b2218,17,0.59,0.23,16,3
bu,mf,352315,26,0.6,0.21,16,3
bo,tc,b77d57,24,0.52,0.72,65,3
bo,tc,bc835b,25,0.52,0.74,60,3
bo,tc,b67753,22,0.54,0.71,56,3
bo,tc,b77d53,25,0.55,0.72,58,3
bo,tc,7b4e34,22,0.58,0.48,38,3
bo,tc,7a523a,23,0.52,0.48,39,3
bo,tc,71412d,18,0.6,0.44,33,3
bo,tc,81523e,18,0.52,0.51,40,3
bo,tc,6a4338,13,0.47,0.42,33,3
bo,tc,543022,17,0.6,0.33,24,3
bo,tc,5d3e2e,20,0.51,0.36,30,3
bo,tc,4c2e22,17,0.55,0.3,23,3
ln,ff,a66c4b,22,0.55,0.65,51,3
ln,ff,bb8f7f,16,0.32,0.73,63,3
ln,ff,dfb9af,12,0.22,0.87,78,3
ln,ff,b7743c,27,0.67,0.72,55,3
ln,ff,924829,18,0.72,0.57,40,3
ln,ff,a37452,25,0.5,0.64,53,3
ln,ff,6c4529,25,0.62,0.42,33,3
ln,ff,321407,18,0.86,0.2,11,3
ln,ff,cc9d72,29,0.44,0.8,68,3
ln,ff,a66c49,23,0.56,0.65,51,3
ln,ff,be784d,23,0.59,0.75,57,3
ln,ff,592d24,10,0.6,0.35,24,3
ln,ff,b68e6f,26,0.39,0.71,62,3
ln,ff,b19277,28,0.33,0.69,63,3
ln,ff,a3724a,27,0.55,0.64,53,3
ln,ff,742b13,15,0.84,0.45,29,3
ln,ff,deb399,23,0.31,0.87,76,3
lc,ti,fdece4,19,0.1,0.99,95,4
lc,ti,f4d1ab,31,0.3,0.96,86,4
lc,ti,eec1a0,25,0.33,0.93,82,4
lc,ti,eac398,31,0.35,0.92,81,4
lc,ti,e9be9e,26,0.32,0.91,80,4
lc,ti,deba96,30,0.32,0.87,78,4
lc,ti,dcb190,26,0.35,0.86,76,4
lc,ti,ddb391,27,0.34,0.87,76,4
lc,ti,e4ba8c,31,0.39,0.89,78,4
lc,ti,e2b78f,29,0.37,0.89,78,4
lc,ti,e5b189,26,0.4,0.9,76,4
lc,ti,f3c796,32,0.38,0.95,83,4
lc,ti,f3bf90,28,0.41,0.95,81,4
lc,ti,e1af8c,25,0.38,0.88,76,4
lc,ti,ddb184,30,0.4,0.87,75,4
lc,ti,dca77d,27,0.43,0.86,73,4
lc,ti,d6a77d,28,0.42,0.84,72,4
lc,ti,d7a17f,23,0.41,0.84,71,4
lc,ti,d7a17d,24,0.42,0.84,71,4
lc,ti,dda876,29,0.47,0.87,73,4
lc,ti,e39f72,24,0.5,0.89,72,4
lc,ti,cf9162,26,0.53,0.81,66,4
lc,ti,e0a16b,28,0.52,0.88,72,4
lc,ti,d0975d,30,0.55,0.82,67,4
lc,ti,d29e6d,29,0.48,0.82,69,4
lc,ti,c9925e,29,0.53,0.79,65,4
lc,ti,ce8c5c,25,0.55,0.81,64,4
lc,ti,bb7e44,29,0.64,0.73,58,4
lc,ti,ce9163,26,0.52,0.81,66,4
lc,ti,bd7f56,24,0.54,0.74,59,4
lc,ti,935427,25,0.73,0.58,43,4
lc,ti,bc7c56,22,0.54,0.74,58,4
lc,ti,aa6941,23,0.62,0.67,51,4
lc,ti,9b5e41,19,0.58,0.61,46,4
lc,ti,8a4d30,19,0.65,0.54,40,4
lc,ti,7b3c11,24,0.86,0.48,33,4
lc,ti,7.03E+25,21,0.69,0.44,32,4
lc,ti,502716,18,0.73,0.31,21,4
lc,ti,7c3f2c,14,0.65,0.49,34,4
lc,ti,391b11,15,0.7,0.22,14,4
ma,sff,d8b593,30,0.32,0.85,76,4
ma,sff,fbbe91,25,0.42,0.98,82,4
ma,sff,d2ae88,31,0.35,0.82,74,4
ma,sff,d0a87f,30,0.39,0.82,72,4
ma,sff,d79051,28,0.62,0.84,66,4
ma,sff,ffdbc2,25,0.24,1,90,4
ma,sff,ffc9a9,22,0.34,1,85,4
ma,sff,ffd7b4,28,0.29,1,89,4
ma,sff,dfc7a8,34,0.25,0.87,82,4
ma,sff,dabc96,34,0.31,0.85,78,4
ma,sff,d9b88f,33,0.34,0.85,77,4
ma,sff,d4b588,36,0.36,0.83,76,4
ma,sff,d0ae84,33,0.37,0.82,73,4
ma,sff,d3b18a,32,0.35,0.83,75,4
ma,sff,d1ac7f,33,0.39,0.82,73,4
ma,sff,d0a97b,32,0.41,0.82,72,4
ma,sff,c9a177,31,0.41,0.79,69,4
ma,sff,c5986d,29,0.45,0.77,66,4
ma,sff,d5844b,25,0.65,0.84,63,4
ma,sff,db864d,24,0.65,0.86,64,4
ma,sff,b5855a,28,0.5,0.71,60,4
ma,sff,b38456,30,0.52,0.7,59,4
ma,sff,e5d1be,29,0.17,0.9,85,4
ma,sff,e0c8ae,31,0.22,0.88,82,4
ma,sff,e0c1a2,30,0.28,0.88,80,4
ma,sff,dcbca2,27,0.26,0.86,79,4
ma,sff,dbbc9f,29,0.27,0.86,78,4
ma,sff,d9b28d,29,0.35,0.85,75,4
ma,sff,d5b293,28,0.31,0.84,75,4
ma,sff,d5ad89,28,0.36,0.84,74,4
ma,sff,d1a88a,25,0.34,0.82,72,4
ma,sff,cfa67d,30,0.4,0.81,71,4
ma,sff,cba275,31,0.42,0.8,70,4
ma,sff,c39368,28,0.47,0.76,65,4
ma,sff,b28050,29,0.55,0.7,58,4
ma,sff,b9855a,27,0.51,0.73,60,4
ma,sff,b27949,27,0.59,0.7,56,4
ma,sff,ae7a50,27,0.54,0.68,56,4
ma,sff,a77246,27,0.58,0.65,53,4
ma,sff,a0714d,26,0.52,0.63,52,4
ma,sff,a9734e,24,0.54,0.66,54,4
ma,sff,724a32,23,0.56,0.45,36,4
br,slw,f5e0c8,32,0.18,0.96,90,4
br,slw,efcfaf,30,0.27,0.94,85,4
br,slw,e8bca4,21,0.29,0.91,80,4
br,slw,e5bc92,30,0.36,0.9,79,4
br,slw,debe97,33,0.32,0.87,79,4
br,slw,e9c9aa,30,0.27,0.91,83,4
br,slw,eac49f,30,0.32,0.92,82,4
br,slw,ecc3a1,27,0.32,0.93,82,4
br,slw,e2b996,28,0.34,0.89,78,4
br,slw,d29e7b,24,0.41,0.82,70,4
br,slw,d9a779,29,0.44,0.85,72,4
br,slw,d6a075,27,0.45,0.84,70,4
br,slw,d3996f,25,0.47,0.83,68,4
br,slw,d7a770,32,0.48,0.84,72,4
br,slw,ca8f63,26,0.51,0.79,65,4
br,slw,d29d71,27,0.46,0.82,69,4
br,slw,d09059,28,0.57,0.82,65,4
br,slw,ca9450,33,0.6,0.79,66,4
br,slw,cc9357,31,0.57,0.8,66,4
br,slw,b27c3b,33,0.67,0.7,57,4
br,slw,a86829,30,0.76,0.66,50,4
br,slw,b87840,28,0.65,0.72,57,4
br,slw,9a4e28,20,0.74,0.6,42,4
br,slw,81562f,29,0.64,0.51,41,4
br,slw,aa6a2f,29,0.72,0.67,51,4
br,slw,9b5127,22,0.75,0.61,43,4
br,slw,7e462d,19,0.64,0.49,36,4
br,slw,8e4922,22,0.76,0.56,39,4
br,slw,7b2800,20,1,0.48,29,4
br,slw,623726,17,0.61,0.38,28,4
mu,uhd,f9e3d5,23,0.14,0.98,92,1
mu,uhd,f6d2bb,23,0.24,0.96,87,1
mu,uhd,f9d5c3,20,0.22,0.98,88,1
mu,uhd,f7c3b3,14,0.28,0.97,83,1
mu,uhd,deccaf,37,0.21,0.87,83,1
mu,uhd,e1c2a8,27,0.25,0.88,81,1
mu,uhd,efd2b8,28,0.23,0.94,86,1
mu,uhd,f7bcb7,5,0.26,0.97,82,1
mu,uhd,ebcab0,26,0.25,0.92,84,1
mu,uhd,eac1ac,20,0.26,0.92,81,1
mu,uhd,e8c6a3,30,0.3,0.91,82,1
mu,uhd,f2ccb7,21,0.24,0.95,85,1
mu,uhd,dca795,15,0.32,0.86,73,1
mu,uhd,e4bd9c,27,0.32,0.89,79,1
mu,uhd,daad90,24,0.34,0.85,74,1
mu,uhd,d8ab8b,25,0.36,0.85,74,1
mu,uhd,ddb395,25,0.33,0.87,76,1
mu,uhd,e3b391,25,0.36,0.89,77,1
mu,uhd,e3b296,22,0.34,0.89,77,1
mu,uhd,dcb59c,23,0.29,0.86,77,1
mu,uhd,d79e89,16,0.36,0.84,70,1
mu,uhd,d9a586,22,0.38,0.85,72,1
mu,uhd,d19578,20,0.43,0.82,67,1
mu,uhd,e7b391,24,0.37,0.91,77,1
mu,uhd,d4a689,23,0.35,0.83,72,1
mu,uhd,d69b81,18,0.4,0.84,69,1
mu,uhd,d59682,14,0.39,0.84,68,1
mu,uhd,c99980,21,0.36,0.79,67,1
mu,uhd,c98567,18,0.49,0.79,62,1
mu,uhd,c7977b,22,0.38,0.78,67,1
mu,uhd,be8470,15,0.41,0.75,61,1
mu,uhd,c78569,18,0.47,0.78,62,1
mu,uhd,b68069,18,0.42,0.71,59,1
mu,uhd,b17862,17,0.45,0.69,56,1
mu,uhd,996754,17,0.45,0.6,49,1
mu,uhd,9c624a,18,0.53,0.61,48,1
mu,uhd,8e5642,16,0.54,0.56,43,1
mu,uhd,784a42,9,0.45,0.47,37,1
mu,uhd,895852,7,0.4,0.54,43,1
mu,uhd,644136,14,0.46,0.39,31,1
he,pp,f6a762,28,0.6,0.96,75,5
he,pp,d76b4c,13,0.65,0.84,58,5
he,pp,ad543d,12,0.65,0.68,47,5
he,pp,c86835,21,0.74,0.78,55,5
he,pp,904134,8,0.64,0.56,38,5
he,pp,92524e,4,0.47,0.57,43,5
he,pp,bf6b44,19,0.64,0.75,55,5
he,pp,915831,24,0.66,0.57,43,5
he,pp,ea8944,25,0.71,0.92,67,5
he,pp,eebb7a,34,0.49,0.93,80,5
ht,off,ae7748,28,0.59,0.68,55,5
ht,off,b68358,27,0.52,0.71,59,5
ht,off,a77546,29,0.58,0.65,54,5
ht,off,a36c3b,28,0.64,0.64,51,5
ht,off,89562c,27,0.68,0.54,42,5
ht,off,9a572c,23,0.71,0.6,44,5
ht,off,904d2e,19,0.68,0.56,41,5
ht,off,783f23,20,0.71,0.47,34,5
ht,off,75391c,20,0.76,0.46,32,5
ht,off,602d18,18,0.75,0.38,25,5
ht,off,5b2717,14,0.75,0.36,23,5
tp,fff,e2ac7c,28,0.45,0.89,75,5
tp,fff,b17e4f,29,0.55,0.69,57,5
tp,fff,8c5b3d,23,0.56,0.55,44,5
tp,fff,b0704d,21,0.56,0.69,54,5
tp,fff,d89757,30,0.6,0.85,68,5
tp,fff,c48b58,28,0.55,0.77,63,5
tp,hdf,fcd1a7,30,0.34,0.99,87,5
tp,hdf,e2ac7c,28,0.45,0.89,75,5
tp,hdf,b17e51,28,0.54,0.69,57,5
tp,hdf,9d6d49,26,0.54,0.62,51,5
tp,hdf,b0704d,21,0.56,0.69,54,5
tp,hdf,8c5b3d,23,0.56,0.55,44,5
tp,hdf,795340,20,0.47,0.47,39,5
ep,fcf,815d51,15,0.37,0.51,43,5
ep,fcf,845949,16,0.45,0.52,42,5
ep,fcf,8b614b,21,0.46,0.55,45,5
ep,fcf,906656,17,0.4,0.56,47,5
ep,fcf,774c43,10,0.44,0.47,37,5
ep,fcf,734b41,12,0.43,0.45,36,5
ep,fcf,88614d,20,0.43,0.53,45,5
ep,fcf,ba8261,22,0.48,0.73,60,5
ep,fcf,d9ab88,26,0.37,0.85,74,5
ep,fcf,d49a74,24,0.45,0.83,69,5
ep,fcf,cf8a60,23,0.54,0.81,64,5
ku,mwf,c78660,22,0.52,0.78,62,5
ku,mwf,e0a260,31,0.57,0.88,72,5
ku,mwf,cc8b65,22,0.5,0.8,64,5
ku,mwf,c78660,22,0.52,0.78,62,5
ku,mwf,b2724f,21,0.56,0.7,54,5
rmk,lf,fcdba8,36,0.33,0.99,89,6
rmk,lf,fbd099,34,0.39,0.98,86,6
rmk,lf,f7be87,29,0.45,0.97,81,6
rmk,lf,f0a762,29,0.59,0.94,75,6
rmk,lf,e8a463,29,0.57,0.91,73,6
rmk,lf,fddcbb,30,0.26,0.99,90,6
rmk,lf,f9c89f,27,0.36,0.98,84,6
rmk,lf,f3c095,27,0.39,0.95,82,6
rmk,lf,c17663,12,0.49,0.76,58,6
ad,tf,ffdcbe,28,0.25,1,90,6
ad,tf,ffd8b9,27,0.27,1,89,6
ad,tf,fdd5b4,27,0.29,0.99,88,6
ad,tf,fdcfad,25,0.32,0.99,87,6
ad,tf,fdcba6,26,0.34,0.99,85,6
ad,tf,fcc59e,25,0.37,0.99,84,6
ad,tf,f8bf88,29,0.45,0.97,82,6
ad,tf,f3bc86,30,0.45,0.95,80,6
ad,tf,eab17a,29,0.48,0.92,77,6
ad,tf,e9b079,29,0.48,0.91,76,6
ad,tf,dfaa76,30,0.47,0.87,74,6
ad,tf,dda376,26,0.47,0.87,72,6
ad,tf,daa272,28,0.48,0.85,71,6
ad,tf,db9e70,26,0.49,0.86,70,6
ad,tf,d69668,25,0.51,0.84,68,6
ad,tf,c38355,25,0.56,0.76,61,6
ad,tf,c37f4e,25,0.6,0.76,60,6
su,psf,e9a986,21,0.42,0.91,75,6
su,psf,fac6a1,25,0.36,0.98,84,6
su,psf,c99e76,29,0.41,0.79,68,6
su,psf,e0aa7c,28,0.45,0.88,74,6
su,psf,ebc095,30,0.37,0.92,81,6
su,psf,f9dabd,29,0.24,0.98,89,6
su,psf,af8749,36,0.58,0.69,59,6
su,psf,c89a5e,34,0.53,0.78,67,6
su,psf,dbab6d,34,0.5,0.86,73,6
su,psf,e5bf81,37,0.44,0.9,80,6
su,psf,f4d6a4,37,0.33,0.96,87,6
sh,ss,edb899,22,0.35,0.93,79,6
sh,ss,e8b193,21,0.37,0.91,77,6
sh,ss,ebb68c,27,0.4,0.92,78,6
sh,ss,e9b085,26,0.43,0.91,76,6
sh,ss,d69e7b,23,0.43,0.84,70,6
sh,ss,cb9068,24,0.49,0.8,65,6
ka,ssm,f7d5bb,26,0.24,0.97,88,6
ka,ssm,e8b793,25,0.37,0.91,78,6
ka,ssm,dca67e,26,0.43,0.86,73,6
ka,ssm,ebbd88,32,0.42,0.92,80,6
ka,ssm,d19c72,27,0.45,0.82,69,6
ka,ssm,c28660,23,0.51,0.76,61,6
ip,lf,edc69f,30,0.33,0.93,83,6
ip,lf,efc9a5,29,0.31,0.94,84,6
ip,lf,ecbb9a,24,0.35,0.93,80,6
ip,lf,e9b494,23,0.36,0.91,78,6
ip,lf,e7aa8d,19,0.39,0.91,75,6
ip,lf,edc0a3,24,0.31,0.93,81,6
di,df,e6c6ad,26,0.25,0.9,82,6
di,df,e7cbac,32,0.26,0.91,83,6
di,df,edc8af,24,0.26,0.93,83,6
di,df,e2bda2,25,0.28,0.89,79,6
di,df,e4bf9a,30,0.32,0.89,80,6
di,df,d7a98a,24,0.36,0.84,73,6
