brand,product,hex,H,S,V,L,group
mb,fmf,f3cfb3,26,0.26,0.95,86,2
mb,fmf,ffe3c2,32,0.24,1,92,2
mb,fmf,ffe0cd,23,0.2,1,91,2
mb,fmf,ffd3be,19,0.25,1,88,2
mb,fmf,bd9584,18,0.3,0.74,65,2
mb,fmf,eabda6,20,0.29,0.92,80,2
mb,fmf,fbd2ad,28,0.31,0.98,87,2
mb,fmf,e2b597,24,0.33,0.89,77,2
mb,fmf,e4b38e,26,0.38,0.89,77,2
mb,fmf,b2856f,20,0.38,0.7,60,2
mb,fmf,e8ba8c,30,0.4,0.91,79,2
mb,fmf,f3b584,26,0.46,0.95,79,2
mb,fmf,f0b996,23,0.37,0.94,80,2
mb,fmf,e3b082,28,0.43,0.89,76,2
mb,fmf,eab181,27,0.45,0.92,77,2
mb,fmf,9d7359,23,0.43,0.62,52,2
mb,fmf,e2aa7b,27,0.46,0.89,74,2
mb,fmf,d99358,27,0.59,0.85,67,2
mb,fmf,9c744f,29,0.49,0.61,52,2
mb,fmf,b18b65,30,0.43,0.69,61,2
mb,fmf,84583f,22,0.52,0.52,42,2
mb,fmf,7d5631,29,0.61,0.49,40,2
mb,fmf,c07746,24,0.64,0.75,57,2
mb,fmf,643c27,21,0.61,0.39,30,2
mb,fmf,edcfb9,25,0.22,0.93,85,2
mb,fmf,e1bba7,21,0.26,0.88,79,2
mb,fmf,c1a07e,30,0.35,0.76,68,2
mb,fmf,d09e7c,24,0.4,0.82,69,2
mb,fmf,c7967d,20,0.37,0.78,66,2
mb,fmf,c09578,24,0.38,0.75,65,2
mb,fmf,9d6f48,28,0.54,0.62,51,2
mb,fmf,a86d40,26,0.62,0.66,52,2
mb,fmf,7f5c3b,29,0.54,0.5,42,2
mb,fmf,735642,24,0.43,0.45,39,2
mb,fmf,6b5041,21,0.39,0.42,37,2
mb,fmf,7d5c4d,19,0.38,0.49,42,2
mb,fmf,5c4433,25,0.45,0.36,31,2
mb,fmf,5e3a23,23,0.63,0.37,28,2
mb,fmf,5e4638,22,0.4,0.37,32,2
mb,fmf,3f2018,12,0.62,0.25,16,2
bm,pro,edceb2,28,0.25,0.93,85,2
bm,pro,f0cba1,32,0.33,0.94,84,2
bm,pro,ebc99c,34,0.34,0.92,83,2
bm,pro,e6bc94,29,0.36,0.9,79,2
bm,pro,dcb79a,26,0.3,0.86,77,2
bm,pro,eac8a3,31,0.3,0.92,83,2
bm,pro,e9c89e,34,0.32,0.91,83,2
bm,pro,d4ad8a,28,0.35,0.83,74,2
bm,pro,cfa786,27,0.35,0.81,72,2
bm,pro,d8b08c,28,0.35,0.85,75,2
bm,pro,d4a97f,30,0.4,0.83,72,2
bm,pro,deb58b,30,0.37,0.87,77,2
bm,pro,dbae85,29,0.39,0.86,75,2
bm,pro,d5a275,28,0.45,0.84,71,2
bm,pro,d1a67e,29,0.4,0.82,71,2
bm,pro,e0ab81,27,0.42,0.88,74,2
bm,pro,ca9f75,30,0.42,0.79,69,2
bm,pro,c69c6c,32,0.45,0.78,68,2
bm,pro,bd9359,35,0.53,0.74,64,2
bm,pro,b38355,29,0.53,0.7,59,2
bm,pro,ab7945,31,0.6,0.67,55,2
bm,pro,ab7944,31,0.6,0.67,55,2
bm,pro,ad7d59,26,0.49,0.68,57,2
bm,pro,a16c38,30,0.65,0.63,51,2
bm,pro,976236,27,0.64,0.59,47,2
bm,pro,8a5833,26,0.63,0.54,43,2
bm,pro,8d5c31,28,0.65,0.55,44,2
bm,pro,775436,28,0.55,0.47,39,2
bm,pro,6e4b2f,27,0.57,0.43,35,2
el,dw,ffd6ba,24,0.27,1,89,2
el,dw,d0a26e,32,0.47,0.82,70,2
el,dw,c48f56,31,0.56,0.77,64,2
el,dw,bb8046,30,0.63,0.73,59,2
el,dw,ffc8a3,24,0.36,1,85,2
el,dw,d8bba3,27,0.25,0.85,78,2
el,dw,fac7a7,23,0.33,0.98,84,2
el,dw,ffcba6,25,0.35,1,86,2
el,dw,e5b593,25,0.36,0.9,77,2
